CODMUNI;ID;MUNIC;AREA;INDICE94;INDICE95;GINI_91;POP_94;POP_RUR;POP_URB;POP_FEM;POP_MAS;POP_TOT;URBLEVEL;PIB_PC;X_COORD;Y_COORD
6080;634;São Bento Abade;          80.6;              19.26;              27.15;             0.5796;2685;381;2175;1226;1330;2556;          0.851;2109;-4.507.244;-2.158.245
6090;635;São Brás do Suaçuí;         110.7;              13.89;              23.01;             0.5651;3279;721;2477;1555;1643;3198;          0.775;2007;-4.397.797;-2.063.864
6100;636;São Domingos do Prata;         749.1;               5.68;               7.55;             0.5979;18885;10853;7889;9561;9181;18742;          0.421;1421;-4.290.958;-1.988.005
6110;638;São Francisco;        5787.1;               7.59;               8.99;             0.5716;53377;50620;21861;35398;37083;72481;          0.302;1868;-4.507.765;-1.571.572
6120;640;São Francisco de Paula;         317.3;              12.66;              13.49;             0.5350;6319;2733;3419;2984;3168;6152;          0.556;2473;-4.499.714;-2.070.812
6130;639;São Francisco de Sales;        1132.0;              29.32;              30.01;             0.5827;5075;2159;2782;2344;2597;4941;          0.563;5195;-4.988.219;-1.979.190
6140;637;São Francisco do Glória;         164.5;               5.98;               9.15;             0.5228;6538;3906;2459;3092;3273;6365;          0.386;1124;-4.228.881;-2.078.788
6150;641;São Geraldo;         189.3;              17.78;              20.74;             0.5825;7927;3909;3951;3922;3938;7860;          0.503;1873;-4.282.680;-2.092.381
6160;642;São Geraldo da Piedade;         154.0;               5.17;               6.82;             0.4529;5201;4035;1028;2552;2511;5063;          0.203;1020;-4.230.198;-1.890.039
6170;643;São Gonçalo do Abaeté;        3350.7;              10.35;              11.89;             0.4903;9480;3848;5897;4648;5097;9745;          0.605;4132;-4.564.853;-1.821.777
6180;644;São Gonçalo do Pará;         266.4;               9.16;              11.07;             0.5343;7942;1859;5682;3767;3774;7541;          0.753;3201;-4.482.851;-1.997.062
6190;645;São Gonçalo do Rio Abaixo;         365.7;               2.43;              13.96;             0.5888;8064;5162;3160;4206;4116;8322;          0.380;1889;-4.332.174;-1.980.108
2550;646;São Gonçalo do Rio Preto;         314.2;              17.42;              22.45;             0.4397;3020;1652;1344;1526;1470;2996;          0.449;1465;-4.336.258;-1.810.657
6200;647;São Gonçalo do Sapucaí;         519.3;              16.95;              13.50;             0.6361;20150;4383;15228;9752;9859;19611;          0.777;3160;-4.559.533;-2.191.757
6210;648;São Gotardo;         856.3;              12.27;               9.87;             0.6952;20238;3177;16520;9790;9907;19697;          0.839;2912;-4.598.589;-1.936.525
6220;649;São João Batista do Glória;         551.4;              14.89;              23.37;             0.5839;5497;1691;3661;2434;2918;5352;          0.684;2861;-4.644.325;-2.054.237
6230;650;São João da Mata;         120.8;              11.62;              11.45;             0.5261;2669;1252;1289;1197;1344;2541;          0.507;4272;-4.595.571;-2.195.360
6240;651;São João da Ponte;        1855.6;               4.70;               5.70;             0.4521;26109;22572;9904;15625;16851;32476;          0.305;1127;-4.392.105;-1.591.449
6250;652;São João Del-Rei;        1467.5;              18.40;              19.50;             0.5905;74745;6047;66700;37488;35259;72747;          0.917;4633;-4.429.027;-2.124.842
6255;653;São João do Manhuaçu;         142.9;               7.18;               9.98;             0.0000;7296;0;0;0;0;0;          0.000;1750;-4.216.253;-2.037.889
6257;654;São João do Manteninha;         139.8;               8.89;              11.98;             0.0000;3981;0;0;0;0;0;          0.000;1581;-4.113.876;-1.877.872
6260;655;São João do Oriente;         120.6;               7.89;               5.83;             0.5503;7913;3245;4921;4074;4092;8166;          0.603;1789;-4.219.143;-1.934.105
6270;656;São João do Paraíso;        3046.7;               2.34;               4.13;             0.4819;30594;23740;5179;14529;14390;28919;          0.179;911;-4.185.145;-1.536.686
6280;657;São João Evangelista;         480.3;              11.71;              14.35;             0.6104;15505;7591;7784;7959;7416;15375;          0.506;902;-4.279.912;-1.849.658
6290;658;São João Nepomuceno;         409.0;              18.03;              18.39;             0.5669;22673;2477;18955;10880;10552;21432;          0.884;2439;-4.302.130;-2.159.062
6295;659;São José da Lapa;          48.8;              12.19;              43.89;             0.0000;7274;0;0;0;0;0;          0.000;3042;-4.397.927;-1.969.892
6300;660;São José da Safira;         215.1;              13.45;               9.79;             0.5664;3562;1358;2343;1848;1853;3701;          0.633;1021;-4.214.351;-1.832.732
6310;661;São José da Varginha;         205.7;              13.20;              18.77;             0.4961;2826;1562;1128;1282;1408;2690;          0.419;6203;-4.456.289;-1.969.368
6320;662;São José do Alegre;          89.5;              16.76;              12.84;             0.5960;3404;1441;1879;1622;1698;3320;          0.566;2281;-4.554.713;-2.230.991
6330;663;São José do Divino;         327.3;               8.14;               6.64;             0.6010;4085;2096;2149;2183;2062;4245;          0.506;2622;-4.137.432;-1.840.453
6340;664;São José do Goiabal;         185.8;               6.56;               8.44;             0.5803;5979;2885;3285;3158;3012;6170;          0.532;2416;-4.267.596;-1.993.342
6350;665;São José do Jacuri;         516.3;              11.31;              15.29;             0.5448;10677;9449;1527;5409;5567;10976;          0.139;1083;-4.269.985;-1.824.553
6360;666;São José do Mantimento;          54.6;              12.79;              13.57;             0.4545;2140;1314;910;1075;1149;2224;          0.409;1438;-4.177.816;-2.001.157
6370;667;São Lourenço;          57.2;              24.25;              31.60;             0.6385;31600;372;29498;15585;14285;29870;          0.988;4673;-4.503.896;-2.212.329
6380;668;São Miguel do Anta;         152.7;               4.48;               9.08;             0.6283;6487;3533;2782;3063;3252;6315;          0.441;2561;-4.271.632;-2.075.947
6390;669;São Pedro da União;         258.5;               7.45;               8.82;             0.4920;5115;3171;1901;2444;2628;5072;          0.375;2781;-4.666.230;-2.111.045
6410;670;São Pedro do Suaçui;         309.7;               7.89;               8.50;             0.5031;9365;6346;2940;4724;4562;9286;          0.317;1469;-4.259.288;-1.836.055
6400;671;São Pedro dos Ferros;         401.8;               9.23;              11.96;             0.6095;9993;3540;6733;5163;5110;10273;          0.655;2276;-4.258.146;-2.006.790
6420;672;São Romão;        2444.8;              10.18;              12.80;             0.5263;7713;8669;5893;7087;7475;14562;          0.405;1517;-4.542.453;-1.636.070
6430;673;São Roque de Minas;        2106.7;               7.69;               8.09;             0.5285;6296;3568;2755;2991;3332;6323;          0.436;2829;-4.650.826;-2.018.882
6440;674;São Sebastião da Bela Vista;         167.3;              16.45;              17.61;             0.6165;4061;2007;1859;1815;2051;3866;          0.481;3046;-4.577.652;-2.216.498
6450;675;São Sebastião do Maranhão;         520.1;               1.85;               2.92;             0.5149;12928;10242;2578;6386;6434;12820;          0.201;793;-4.255.856;-1.806.346
6460;676;São Sebastião do Oeste;         405.2;               8.03;              12.87;             0.4838;5100;3968;1089;2477;2580;5057;          0.215;4520;-4.503.375;-2.025.358
6470;677;São Sebastião do Paraíso;         824.5;              22.86;              24.46;             0.5946;51894;7607;41446;24465;24588;49053;          0.845;3126;-4.702.728;-2.089.761
6480;678;São Sebastião do Rio Preto;         127.5;               6.45;              17.51;             0.4899;2036;1468;648;1046;1070;2116;          0.306;1672;-4.324.157;-1.930.025
6490;679;São Sebastião do Rio Verde;          92.1;               0.58;               0.42;             0.6038;1848;1033;770;886;917;1803;          0.427;2343;-4.502.241;-2.222.742
6500;680;São Tiago;         575.6;              12.27;              16.39;             0.5594;9907;3536;6106;4790;4852;9642;          0.633;2461;-4.457.803;-2.094.804
6510;681;São Tomás de Aquino;         278.4;              13.11;              12.55;             0.5167;6730;2326;4619;3365;3580;6945;          0.665;3322;-4.714.284;-2.077.751
6520;682;São Tomé das Letras;         370.4;              32.39;              28.17;             0.5413;5855;3671;2029;2580;3120;5700;          0.356;1925;-4.497.449;-2.175.188
6530;683;São Vicente de Minas;         393.1;              17.26;              22.18;             0.6787;5384;994;4413;2704;2703;5407;          0.816;2561;-4.447.504;-2.165.985
6540;684;Sapucaí-Mirim;         285.5;              19.48;              22.15;             0.5452;4382;2287;1987;2030;2244;4274;          0.465;1935;-4.584.660;-2.279.906
6550;685;Sardoá;         141.9;              11.18;              13.33;             0.5498;4377;3045;1224;2104;2165;4269;          0.287;963;-4.240.123;-1.878.859
6557;686;Senador Amaral;         151.6;              11.64;              10.37;             0.0000;4326;0;0;0;0;0;          0.000;2099;-4.622.298;-2.257.294
6560;687;Senador Cortes;          98.7;              12.37;              22.01;             0.5403;1862;1026;821;883;964;1847;          0.445;3314;-4.291.781;-2.178.889
6570;688;Senador Firmino;         166.6;              13.94;              13.96;             0.5454;6048;3149;3092;3057;3184;6241;          0.495;1460;-4.311.113;-2.090.737
6580;689;Senador José Bento;          94.8;              12.12;              12.99;             0.5215;1937;1430;583;929;1084;2013;          0.290;2716;-4.615.979;-2.216.686
6590;690;Senador Modestino Gonçalves;         951.7;              32.58;              16.04;             0.5151;5145;4139;1170;2601;2708;5309;          0.220;1011;-4.325.835;-1.783.849
6600;691;Senhora de Oliveira;         170.3;              15.02;               9.55;             0.5374;5132;2791;2298;2528;2561;5089;          0.452;1641;-4.335.847;-2.081.230
6610;692;Senhora do Porto;         383.4;               4.94;              16.04;             0.5045;3563;2622;1080;1804;1898;3702;          0.292;1303;-4.310.017;-1.890.717
6620;693;Senhora dos Remédios;         237.8;               5.48;               7.48;             0.5083;9993;6993;2732;4757;4968;9725;          0.281;1154;-4.362.730;-2.105.220
6630;694;Sericita;         167.1;               4.29;               7.10;             0.5862;6721;4379;2003;3167;3215;6382;          0.314;1380;-4.246.251;-2.049.608
6640;695;Seritinga;         114.7;              12.08;               8.03;             0.6222;1737;603;1120;858;865;1723;          0.650;2440;-4.448.242;-2.192.809
6650;696;Serra Azul de Minas;         240.6;               4.34;               3.55;             0.5721;3905;2762;1112;1901;1973;3874;          0.287;754;-4.322.733;-1.841.386
6660;697;Serra da Saudade;         348.6;              32.22;              31.91;             0.5205;820;373;479;379;473;852;          0.562;4735;-4.577.631;-1.937.902
6680;698;Serra do Salitre;        1301.7;              16.53;              17.08;             0.5743;8409;3059;4925;3802;4182;7984;          0.617;5645;-4.669.787;-1.911.593
6670;699;Serra dos Aimorés;         216.0;              27.67;              19.68;             0.5797;10796;2143;8081;5196;5028;10224;          0.790;1674;-4.027.975;-1.778.376
6690;700;Serrania;         212.0;               9.52;              19.53;             0.5859;7346;1720;5255;3363;3612;6975;          0.753;2584;-4.610.095;-2.158.019
6700;701;Serranos;         213.0;              19.96;              25.20;             0.5405;1959;648;1388;1002;1034;2036;          0.682;8503;-4.455.666;-2.183.953
6710;702;Serro;        1244.1;               9.11;               8.32;             0.6217;19872;9575;9766;9692;9649;19341;          0.505;1305;-4.339.589;-1.852.279
6720;703;Sete Lagoas;         539.0;              32.78;              36.82;             0.6020;154733;3889;140125;73918;70096;144014;          0.973;3421;-4.430.680;-1.946.036
6730;704;Silveirânia;         157.9;              19.40;              12.97;             0.5651;2039;1392;655;967;1080;2047;          0.320;2027;-4.320.498;-2.115.666
6740;705;Silvianópolis;         312.9;               8.15;              24.50;             0.5556;5875;2981;2844;2816;3009;5825;          0.488;3701;-4.580.846;-2.203.775
6750;706;Simão Pereira;         135.1;              15.21;               7.79;             0.4858;2434;1558;856;1155;1259;2414;          0.355;2239;-4.330.811;-2.197.292
6760;707;Simonésia;         489.3;               5.50;              13.95;             0.5118;16751;12216;4086;7940;8362;16302;          0.251;1960;-4.205.228;-1.999.617
6770;708;Sobrália;         207.6;               7.99;               8.64;             0.5239;6626;3465;3373;3408;3430;6838;          0.493;1631;-4.215.477;-1.922.381
6780;709;Soledade de Minas;         197.4;              10.85;              13.60;             0.5502;4971;2075;2854;2435;2494;4929;          0.579;1770;-4.504.837;-2.203.099
6790;710;Tabuleiro;         212.0;              18.41;              19.85;             0.5237;4197;2235;2126;2089;2272;4361;          0.488;2100;-4.326.382;-2.136.163
6800;711;Taiobeiras;        1693.4;              16.37;              17.90;             0.5905;28218;8349;18324;13501;13172;26673;          0.687;1198;-4.198.139;-1.581.193
6810;712;Tapira;        1183.7;              17.69;              13.63;             0.5510;3048;1297;1676;1366;1607;2973;          0.564;20577;-4.689.534;-1.990.154
6820;713;Tapiraí;         413.7;               8.62;              12.13;             0.4599;2156;1289;951;1042;1198;2240;          0.425;4158;-4.616.463;-1.987.761
6830;714;Taquaraçu de Minas;         330.3;               7.35;              11.39;             0.5220;3370;2412;971;1559;1824;3383;          0.287;1911;-4.369.368;-1.962.626
6840;715;Tarumirim;         732.9;              11.72;              10.42;             0.6239;17670;12534;5522;9005;9051;18056;          0.306;1391;-4.191.384;-1.932.330
6850;716;Teixeiras;         167.0;              15.70;              20.30;             0.5628;10300;4672;5352;5002;5022;10024;          0.534;1591;-4.286.211;-2.064.449
6860;717;Teófilo Otôni;        4009.9;              31.47;              34.23;             0.6297;143799;38867;101966;73142;67691;140833;          0.724;2825;-4.137.456;-1.754.681
6870;718;Timóteo;         145.6;              18.11;              19.86;             0.5420;59899;3301;54997;29886;28412;58298;          0.943;7463;-4.261.551;-1.956.891
6880;719;Tiradentes;          86.3;              32.42;              36.87;             0.5462;10808;1344;8892;5180;5056;10236;          0.869;2044;-4.416.510;-2.112.492
6890;720;Tiros;        2099.6;              12.37;               9.59;             0.5467;8412;4445;4202;4164;4483;8647;          0.486;2353;-4.584.037;-1.883.400
6900;721;Tocantins;         174.5;              17.01;              20.72;             0.5768;12787;4271;8565;6343;6493;12836;          0.667;2476;-4.303.073;-2.119.143
6910;722;Toledo;         136.4;               6.50;               6.68;             0.5154;4791;3234;1430;2204;2460;4664;          0.307;937;-4.639.741;-2.271.369
6920;723;Tombos;         284.1;               7.93;               9.35;             0.6330;9850;3440;6327;4823;4944;9767;          0.648;2273;-4.206.352;-2.088.774
6930;724;Três Corações;         828.1;              25.66;              28.03;             0.5886;60348;7911;49134;28423;28622;57045;          0.861;3996;-4.523.606;-2.171.385
6935;725;Três Marias;        2683.6;              22.23;              30.27;             0.5547;22638;1307;20092;10712;10687;21399;          0.939;10268;-4.504.473;-1.829.533
6940;726;Três Pontas;         691.3;              14.93;              19.98;             0.6432;48486;12092;33740;22725;23107;45832;          0.736;3000;-4.549.229;-2.141.848
6950;727;Tumiritinga;         498.2;              14.21;              14.62;             0.5994;5244;1992;3420;2688;2724;5412;          0.632;2685;-4.164.328;-1.904.353
6960;728;Tupaciguara;        1836.6;              24.89;              30.55;             0.6157;22325;6497;20030;13185;13342;26527;          0.755;3534;-4.877.868;-1.856.151
6970;729;Turmalina;        1771.3;               7.13;               9.13;             0.5133;19942;10862;8547;9560;9849;19409;          0.440;1436;-4.283.191;-1.732.072
6980;730;Turvolândia;         221.9;              11.12;              10.29;             0.6107;3690;2219;1441;1718;1942;3660;          0.394;3967;-4.580.486;-2.189.429
6990;731;Ubá;         408.8;              22.83;              31.55;             0.5998;70363;12460;54051;33692;32819;66511;          0.813;2853;-4.297.899;-2.111.941
7000;732;Ubaí;        1428.1;               2.09;               4.23;             0.5003;14363;9016;4962;6834;7144;13978;          0.355;1433;-4.489.385;-1.647.060
7005;733;Ubaporanga;         191.4;               4.88;               9.09;             0.0000;10456;0;0;0;0;0;          0.000;1876;-4.205.144;-1.965.608
7010;734;Uberaba;        4634.4;              39.45;              42.34;             0.5984;214942;11119;200705;109347;102477;211824;          0.948;5148;-4.797.703;-1.959.423
7020;735;Uberlândia;        4115.9;              32.44;              35.96;             0.5605;398216;8896;358165;186635;180426;367061;          0.976;5594;-4.836.030;-1.899.845
7030;736;Umburatiba;         368.5;               6.02;              10.26;             0.5198;2969;1423;1522;1412;1533;2945;          0.517;3675;-4.066.907;-1.726.113
7040;737;Unaí;       10119.9;              30.79;              34.35;             0.6217;70143;26678;42934;33733;35879;69612;          0.617;2935;-4.682.458;-1.638.084
7050;738;Urucânia;         139.6;               5.02;              11.28;             0.6516;10802;5258;5255;5252;5261;10513;          0.500;3424;-4.273.167;-2.033.277
7052;739;Urucuia;        3319.6;               7.97;               8.93;             0.0000;13397;0;0;0;0;0;          0.000;648;-4.546.964;-1.602.591
7060;740;Vargem Bonita;         410.3;              22.37;              17.80;             0.4628;2230;1276;1041;1038;1279;2317;          0.449;2086;-4.633.885;-2.044.552
7070;741;Varginha;         396.6;              23.91;              23.08;             0.6074;93119;5780;82242;44656;43366;88022;          0.934;5892;-4.540.760;-2.159.202
7080;742;Várzea da Palma;        2202.9;              18.87;              22.87;             0.5880;31233;5059;24464;14653;14870;29523;          0.829;5390;-4.473.364;-1.742.013
7090;743;Varzelândia;        1988.0;               5.45;               6.75;             0.4565;27825;17343;9738;13340;13741;27081;          0.360;1073;-4.394.599;-1.559.299
7100;744;Vazante;        1913.0;              21.68;              16.25;             0.5911;19888;5435;13364;9219;9580;18799;          0.711;4631;-4.688.179;-1.786.018
7220;745;Venceslau Brás;         102.2;               6.39;               5.14;             0.5512;2477;1441;1046;1219;1268;2487;          0.421;3208;-4.541.862;-2.256.122
7110;746;Veríssimo;        1031.6;              29.37;              30.52;             0.4640;2942;1683;1374;1399;1658;3057;          0.449;4606;-4.835.473;-1.961.863
7120;747;Vespasiano;          70.3;              23.49;              34.81;             0.5545;50771;19478;35390;27780;27088;54868;          0.645;3489;-4.393.210;-1.972.897
7130;748;Viçosa;         300.2;              21.19;              23.89;             0.6215;54649;5202;46456;26541;25117;51658;          0.899;3814;-4.288.370;-2.075.442
7140;749;Vieiras;         112.5;              12.05;               7.95;             0.4976;3653;2521;1275;1847;1949;3796;          0.336;1660;-4.228.546;-2.092.132
7160;750;Virgem da Lapa;         874.8;               4.90;               6.36;             0.4684;14043;9850;4075;7029;6896;13925;          0.293;895;-4.231.654;-1.669.227
7170;751;Virgínia;         327.3;               7.91;              11.38;             0.5782;8612;6058;2482;4185;4355;8540;          0.291;1755;-4.512.150;-2.234.955
7180;752;Virginópolis;         415.1;              11.70;              15.84;             0.5962;12765;7550;4539;6023;6066;12089;          0.375;1113;-4.266.643;-1.881.387
7190;753;Virgolândia;         282.4;               9.09;              10.66;             0.5959;6611;3850;2972;3435;3387;6822;          0.436;1384;-4.231.988;-1.846.812
7200;754;Visconde do Rio Branco;         241.2;              27.23;              30.43;             0.5960;29233;7411;21040;14513;13938;28451;          0.740;2263;-4.285.113;-2.102.208
7210;755;Volta Grande;         209.4;               8.30;              10.66;             0.6237;4360;1746;2785;2238;2293;4531;          0.615;2555;-4.255.222;-2.176.994
