CODMUNI;ID;MUNIC;AREA;INDICE94;INDICE95;GINI_91;POP_94;POP_RUR;POP_URB;POP_FEM;POP_MAS;POP_TOT;URBLEVEL;PIB_PC;X_COORD;Y_COORD
5750;599;Santa Efigênia de Minas;         132.6;               7.23;               4.65;             0.5481;5122;3184;1803;2534;2453;4987;          0.362;854;-4.239.977;-1.887.279
5760;600;Santa Fé de Minas;        2926.5;               3.52;               6.50;             0.5301;4816;3300;1273;2070;2503;4573;          0.278;820;-4.555.776;-1.673.685
5770;601;Santa Juliana;         729.5;               8.79;               9.29;             0.6302;8236;1834;5986;3807;4013;7820;          0.765;1732;-4.751.220;-1.938.020
5780;602;Santa Luzia;         234.4;              30.40;              19.62;             0.4973;157079;7639;130186;69795;68030;137825;          0.945;2370;-4.386.069;-1.972.022
5790;603;Santa Margarida;         256.9;               9.60;              13.19;             0.6127;13158;8100;4705;6184;6621;12805;          0.367;3128;-4.226.607;-2.043.163
5800;604;Santa Maria de Itabira;         511.2;               8.75;              10.51;             0.6271;10720;5428;5005;5176;5257;10433;          0.480;1481;-4.305.533;-1.943.619
5810;605;Santa Maria do Salto;         443.6;               9.19;               3.66;             0.5842;5456;2281;3031;2578;2734;5312;          0.571;1382;-4.012.327;-1.627.061
5820;606;Santa Maria do Suaçuí;         807.6;              10.15;              12.66;             0.6628;17915;9910;8396;9241;9065;18306;          0.459;1416;-4.236.111;-1.823.356
5920;609;Santa Rita de Caldas;         503.3;              12.27;              20.25;             0.5122;9336;4659;4599;4447;4811;9258;          0.497;2537;-4.627.435;-2.203.021
5935;607;Santa Rita de Minas;         154.5;              16.00;              28.22;             0.0000;6855;0;0;0;0;0;          0.000;3579;-4.211.675;-1.985.459
5940;610;Santa Rita do Ibitipoca;         324.9;              10.62;               9.20;             0.6041;3911;2412;1652;1966;2098;4064;          0.406;2829;-4.395.672;-2.159.619
5950;608;Santa Rita do Itueto;         488.1;               9.64;               6.59;             0.5196;5906;4910;1185;2989;3106;6095;          0.194;2888;-4.139.844;-1.941.083
5930;611;Santa Rita do Jacutinga;         438.6;              10.35;               6.21;             0.5398;4963;1972;3150;2473;2649;5122;          0.615;3376;-4.408.352;-2.211.962
5960;612;Santa Rita do Sapucaí;         351.8;              13.83;              12.78;             0.6545;27841;6226;20091;13258;13059;26317;          0.763;3873;-4.568.169;-2.225.256
5970;613;Santa Rosa da Serra;         297.2;               4.16;               4.50;             0.4571;2890;1288;1579;1368;1499;2867;          0.551;2854;-4.601.767;-1.955.815
5980;614;Santa Vitória;        3014.8;              19.10;              18.13;             0.6274;16132;4387;12196;7913;8670;16583;          0.735;5478;-5.033.390;-1.897.513
5830;615;Santana da Vargem;         173.2;              13.78;              15.72;             0.6047;7032;3294;3552;3270;3576;6846;          0.519;5166;-4.550.389;-2.127.551
5840;616;Santana de Cataguases;         163.0;               9.12;               4.94;             0.5248;3620;1298;2233;1668;1863;3531;          0.632;1938;-4.255.058;-2.128.975
5850;617;Santana de Pirapama;        1223.7;              16.14;              27.97;             0.4998;8961;6877;2335;4412;4800;9212;          0.253;2326;-4.392.583;-1.888.783
5860;618;Santana do Deserto;         182.6;              21.31;              32.76;             0.5134;3445;2500;917;1656;1761;3417;          0.268;2214;-4.319.073;-2.194.681
5870;619;Santana do Garambéu;         203.3;               0.26;               1.27;             0.4830;1769;847;908;834;921;1755;          0.517;2537;-4.406.586;-2.164.839
5880;620;Santana do Jacaré;         106.0;               5.96;              12.97;             0.5578;3867;401;3435;1878;1958;3836;          0.895;1886;-4.507.629;-2.088.513
5890;621;Santana do Manhuaçu;         347.9;               3.57;               4.11;             0.4811;9668;5607;3549;4424;4732;9156;          0.388;1856;-4.189.212;-2.005.338
5895;622;Santana do Paraíso;         276.4;              12.05;              12.25;             0.0000;13835;0;0;0;0;0;          0.000;2808;-4.255.613;-1.938.662
5900;623;Santana do Riacho;         678.8;              14.43;              17.38;             0.4342;3432;2220;1184;1678;1726;3404;          0.348;1587;-4.364.855;-1.918.044
